,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
11021,631259490517541993,Belle Chambre privé- Condo confort et sécurité,17995297,Joelle,Le Sud-Ouest,45.4593,-73.58997,Private room,118,2,0,2022-06-24,1.498,6,0,0
11022,633846623641393764,Louer une chambre dans un paisible 5 1/2,297355386,Line,Le Sud-Ouest,45.451752,-73.599892,Private room,43,2,11,2022-08-30,3.75,2,318,11
11023,631261153630568600,Sonder at Penny Lane | One-Bedroom Apartment,224865057,Sonder (Montreal),Ville-Marie,45.50288,-73.56014,Entire home/apt,240,2,2,2022-08-18,0.79,40,281,2
11024,633908860991444243,★ AIR HOCKEY & Family ★ Downtown !! Saint Denis,453173177,Hayato,Le Plateau-Mont-Royal,45.52078,-73.57789,Entire home/apt,195,1,7,2022-07-29,1.89,7,103,7
11025,631308468850590015,"Glamorous Apartment Downtown Montréal, Berri Uquam",106943829,Nick,Ville-Marie,45.51549,-73.56228,Entire home/apt,64,1,19,2022-08-23,5.64,31,31,19
11026,633927707984911152,★ Historic Loft with stunning view of Grande Roue★,318040,Seb,Ville-Marie,45.50806,-73.552147,Entire home/apt,235,3,19,2022-09-04,5.76,8,55,19
11027,631460322609507933,Luxury 2 bedroom condo in Griffintown,165150904,Gencer,Le Sud-Ouest,45.4927286319077,-73.5635947823503,Entire home/apt,160,30,0,2022-09-04,1.498,1,364,0
11028,631670797381329989,Apartment 5 1/2 with in heart of Montreal,460177915,Hanan,Ahuntsic-Cartierville,45.542332,-73.644188,Entire home/apt,120,7,9,2022-09-10,2.62,1,331,9
11029,633966908995092059,Superbe logement Familial avec Sauna Infra Rouge!,460728633,Joshua,Le Plateau-Mont-Royal,45.53509,-73.58323,Entire home/apt,195,2,10,2022-09-05,2.78,1,66,10
11030,631742005672018580,Superbe Condo au coeur du centre ville de Montréal,347473746,Olivier,Ville-Marie,45.49491,-73.56709,Entire home/apt,115,31,1,2022-07-11,0.46,3,262,1
11031,633987260820385628,Stunning Luxury Plateau Condo with Outdoor Patio,189519197,Nikki,Le Plateau-Mont-Royal,45.51409,-73.5734,Entire home/apt,255,4,13,2022-09-05,4.06,16,69,13
11032,631821523885581190,Lovely renovated 2-bedroom apartment in Montreal,35986905,Demetri,Villeray-Saint-Michel-Parc-Extension,45.529621085172096,-73.6360537159637,Entire home/apt,145,4,5,2022-08-31,1.74,1,81,5
11033,633989129653361314,Charming 1-bedroom condo in Downtown MTL,12409761,Bene,Ville-Marie,45.51489,-73.56746,Private room,110,2,2,2022-07-20,0.95,3,0,2
11034,634023564484234400,Appartement charmant sur le Plateau Mont-Royal,32445279,Leïla,Le Plateau-Mont-Royal,45.53831,-73.57926,Entire home/apt,150,5,5,2022-08-12,2.21,2,0,5
11035,631865455585622037,Studio moderne près rivière et métro ligne orange.,66504049,Martine,Ahuntsic-Cartierville,45.560977935791,-73.6647033691406,Entire home/apt,89,31,5,2022-08-28,2.03,1,260,5
11036,634086940381372631,Modern 2-bedroom in Downtown Montreal,121534688,Sara,Ville-Marie,45.5,-73.57519,Entire home/apt,1300,3,1,2022-06-20,0.35,1,364,1
11037,631908984085401458,Studio size apartment in downtown McGill area,36353153,Mc,Le Plateau-Mont-Royal,45.50787,-73.57451,Entire home/apt,35,100,3,2022-08-09,0.84,3,264,3
11038,634096170596087054,Lovely 2BDR+2BTH in Bell-center DT Montreal,90643563,Linda,Ville-Marie,45.49582,-73.5696,Entire home/apt,228,7,6,2022-08-02,1.88,6,25,6
11039,631954208573941523,High ceilings open space perfect for group,21402767,Chloe,Le Plateau-Mont-Royal,45.5176,-73.56752,Entire home/apt,425,2,15,2022-08-28,4.46,3,59,15
11040,634107753008391707,Cozy Innovations,249952689,Huguette,Ahuntsic-Cartierville,45.53883,-73.678833,Entire home/apt,407,8,0,2022-08-28,1.498,2,68,0
11041,634157895669227869,"Beautiful, spacious apartment in MTL",25114464,Khoule,Villeray-Saint-Michel-Parc-Extension,45.54066,-73.63088,Private room,45,1,6,2022-06-21,1.78,1,0,6
11042,631988319572358222,Downtown/Bell Centre/Metro 1 bedroom,460255557,Moosa,Ville-Marie,45.49486,-73.58121,Entire home/apt,93,1,15,2022-09-12,4.79,3,283,15
11043,634171207043988113,Charming 1-single bedroom in Downtown MTL,12409761,Bene,Ville-Marie,45.5155339184351,-73.5654425096701,Private room,100,1,5,2022-08-28,2.05,3,0,5
11044,632022017782025304,Lovely 4-bedroom condo with free parking,450964251,Juan,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4909591674805,-73.6296310424805,Entire home/apt,88,60,0,2022-08-28,1.498,1,253,0
11045,632089374491916356,"Grande maison familiale, lumineuse, quartier calme",4881773,Julien,Côte-des-Neiges-Notre-Dame-de-Grâce,45.45551,-73.64254,Entire home/apt,213,3,5,2022-08-01,1.39,3,12,5
